ID,License Plate Number,Enable or not,Start time,Expiration time,Time,Alarm,Blacklist or not,Unique code
137,WVB1505,yes,1/7/2023 0:00,31/8/2023 0:00,no,no,no,WVB1505
138,WXP3881,yes,1/7/2023 0:00,31/8/2023 0:00,no,no,no,WXP3881
139,BPS7719,yes,1/7/2023 0:00,31/8/2023 0:00,no,no,no,BPS7719
140,JPE8832,yes,1/7/2023 0:00,31/8/2023 0:00,no,no,no,JPE8832
141,WYS8969,yes,1/7/2023 0:00,31/8/2023 0:00,no,no,no,WYS8969
142,WB425F,yes,1/7/2023 0:00,31/8/2023 0:00,no,no,no,WB425F
143,JRR104,yes,1/7/2023 0:00,31/8/2023 0:00,no,no,no,JRR104
144,JNG3010,yes,1/7/2023 0:00,31/8/2023 0:00,no,no,no,JNG3010
145,WD789B,yes,1/7/2023 0:00,31/8/2023 0:00,no,no,no,WD789B
146,AAA8,yes,1/7/2023 0:00,31/8/2023 0:00,no,no,no,AAA8
147,WA9717S,yes,1/7/2023 0:00,31/8/2023 0:00,no,no,no,WA9717S
148,KDD1717,yes,1/7/2023 0:00,31/8/2023 0:00,no,no,no,KDD1717
149,WUV7128,yes,1/7/2023 0:00,31/8/2023 0:00,no,no,no,WUV7128
150,WXD823,yes,1/7/2023 0:00,31/8/2023 0:00,no,no,no,WXD823
151,AFV9117,yes,1/7/2023 0:00,31/8/2023 0:00,no,no,no,AFV9117
152,WSD1720,yes,1/7/2023 0:00,31/8/2023 0:00,no,no,no,WSD1720
153,WHE6380,yes,1/7/2023 0:00,31/8/2023 0:00,no,no,no,WHE6380
154,AJX613,yes,1/7/2023 0:00,31/8/2023 0:00,no,no,no,AJX613
155,VBR7642,yes,1/7/2023 0:00,31/8/2023 0:00,no,no,no,VBR7642
156,VGA6477,yes,1/7/2023 0:00,31/8/2023 0:00,no,no,no,VGA6477
157,AJQ646,yes,1/7/2023 0:00,31/8/2023 0:00,no,no,no,AJQ646
158,WA8932W,yes,1/7/2023 0:00,31/8/2023 0:00,no,no,no,WA8932W
159,WKY8448,yes,1/7/2023 0:00,31/8/2023 0:00,no,no,no,WKY8448
160,WYQ3113,yes,1/7/2023 0:00,31/8/2023 0:00,no,no,no,WYQ3113
161,MDL1750,yes,1/7/2023 0:00,31/8/2023 0:00,no,no,no,MDL1750
162,WYP9398,yes,1/7/2023 0:00,31/8/2023 0:00,no,no,no,WYP9398
163,JPJ5523,yes,1/7/2023 0:00,31/8/2023 0:00,no,no,no,JPJ5523
164,VB7611,yes,1/7/2023 0:00,31/8/2023 0:00,no,no,no,VB7611
165,NCX6292,yes,1/7/2023 0:00,31/8/2023 0:00,no,no,no,NCX6292
166,WA968R,yes,1/7/2023 0:00,31/8/2023 0:00,no,no,no,WA968R
167,VAA2255,yes,1/7/2023 0:00,31/8/2023 0:00,no,no,no,VAA2255
168,AHD9322,yes,1/7/2023 0:00,31/8/2023 0:00,no,no,no,AHD9322
169,AGP7199,yes,1/7/2023 0:00,31/8/2023 0:00,no,no,no,AGP7199
170,WVP2255,yes,1/7/2023 0:00,31/8/2023 0:00,no,no,no,WVP2255
171,VX2701,yes,1/7/2023 0:00,31/8/2023 0:00,no,no,no,VX2701
172,WXN8966,yes,1/7/2023 0:00,31/8/2023 0:00,no,no,no,WXN8966
173,RAB2701,yes,1/7/2023 0:00,31/8/2023 0:00,no,no,no,RAB2701
174,WC3183R,yes,1/7/2023 0:00,31/8/2023 0:00,no,no,no,WC3183R
175,WWE481,yes,1/7/2023 0:00,31/8/2023 0:00,no,no,no,WWE481
176,QAY2404,yes,1/7/2023 0:00,31/8/2023 0:00,no,no,no,QAY2404
177,W6328S,yes,1/7/2023 0:00,31/8/2023 0:00,no,no,no,W6328S
178,BPP7326,yes,1/7/2023 0:00,31/8/2023 0:00,no,no,no,BPP7326
179,VBX4289,yes,1/7/2023 0:00,31/8/2023 0:00,no,no,no,VBX4289
180,VDH6469,yes,1/7/2023 0:00,31/8/2023 0:00,no,no,no,VDH6469
181,WMS6218,yes,1/7/2023 0:00,31/8/2023 0:00,no,no,no,WMS6218
182,VFX1461,yes,1/7/2023 0:00,31/8/2023 0:00,no,no,no,VFX1461
183,JEP2238,yes,1/7/2023 0:00,31/8/2023 0:00,no,no,no,JEP2238
184,WC2848X,yes,1/7/2023 0:00,31/8/2023 0:00,no,no,no,WC2848X
185,NCX5599,yes,1/7/2023 0:00,31/8/2023 0:00,no,no,no,NCX5599
186,BKW9660,yes,1/7/2023 0:00,31/8/2023 0:00,no,no,no,BKW9660
187,JNY6650,yes,1/7/2023 0:00,31/8/2023 0:00,no,no,no,JNY6650
189,WQR3724,yes,1/7/2023 0:00,31/8/2023 0:00,no,no,no,WQR3724
190,BKV8866,yes,1/7/2023 0:00,31/8/2023 0:00,no,no,no,BKV8866
191,W1128G,yes,1/7/2023 0:00,31/8/2023 0:00,no,no,no,W1128G
192,WHD8428,yes,1/7/2023 0:00,31/8/2023 0:00,no,no,no,WHD8428
193,BKN7973,yes,1/7/2023 0:00,31/8/2023 0:00,no,no,no,BKN7973
194,BGQ7887,yes,1/7/2023 0:00,31/8/2023 0:00,no,no,no,BGQ7887
